0.20399 1.00984E-2
0.212128 1.99787E-2
0.220591 3.677E-2
0.229391 6.33906E-2
0.238543 1.03008E-1
0.24806 0.158665
0.257956 0.232848
0.268248 0.327077
0.278949 0.434368
0.290078 0.374891
0.301651 0.488921
0.313686 0.615153
0.3262 0.749585
0.339214 0.887672
0.352747 1.02475
0.36682 1.15643
0.381455 1.27885
0.396673 1.36885
0.412499 1.41714
0.428955 1.50027
0.446069 1.56774
0.463865 1.61931
0.482371 1.65526
0.501616 1.67634
0.521628 1.68361
0.542438 1.17349
0.564079 1.19628
0.586583 1.21291
0.609985 1.21991
0.634321 1.21811
0.659628 1.20844
0.685944 1.19186
0.71331 1.13174
0.741768 1.09642
0.771361 1.07023
0.802135 1.03909
0.834136 1.00415
0.867415 0.94625
0.902021 0.89369
0.938007 0.860515
0.97543 0.82625
1.01434 0.791346
1.05481 0.756193
1.09689 0.721119
1.14066 0.686399
1.18616 0.652261
1.23349 0.618888
1.2827 0.586015
1.33387 0.550888
1.38709 0.521
1.44242 0.492218
1.49997 0.464587
1.55981 0.438134
1.62204 0.412869
1.68675 0.388793
1.75405 0.365891
1.82403 0.343708
1.8968 0.322087
1.97247 0.302762
2.05116 0.284465
2.133 0.267161
2.21809 0.250816
2.30658 0.235391
2.39861 0.220848
2.4943 0.206876
2.59381 0.193933
2.69729 0.181845
2.8049 0.170472
2.91681 0.159777
3.03317 0.149725
3.15418 0.140282
3.28002 0.131385
3.41088 0.123069
3.54696 0.115265
3.68847 0.107945
3.83562 1.0108E-1
3.98864 9.46417E-2
4.14777 8.8602E-2
4.31325 8.29514E-2
4.48533 7.76559E-2
4.66427 7.26942E-2
4.85036 6.80459E-2
5.04386 6.36918E-2
5.24509 5.96138E-2
5.45435 5.57949E-2
5.67195 5.22189E-2
5.89824 4.88707E-2
6.13355 4.57359E-2
6.37825 4.28012E-2
6.63271 4.00541E-2
6.89733 3.74825E-2
7.1725 3.50515E-2
7.45865 3.27939E-2
7.75622 3.06897E-2
8.06566 2.872E-2
8.38744 2.68756E-2
8.72206 2.51496E-2
9.07003 2.35344E-2
9.43189 2.20227E-2
9.80818 2.06079E-2
